Designator,Mid X,Mid Y,Rotation,Layer
BT1,84.7458,-6.2045,0.0,bottom
H4,19.9069,-5.6691,0.0,top
J1,41.9715,-45.5161,270.0,top
J3,106.7819,-25.9032,270.0,top
J4,98.0342,-18.9121,90.0,top
J5,64.6078,-32.5823,180.0,top
QI-CHARGER,116.3738,-17.2145,0.0,bottom
SW1,81.369,-52.1861,0.0,top
TP4056,103.76635,-44.4533,270.0,top
