Designator,Mid X,Mid Y,Rotation,Layer
BT1,84.2338,-5.611,0.0,bottom
D2,80.7088,-15.8415,0.0,bottom
F2,111.8988,-18.0095,0.0,bottom
H4,20.3573,-6.0697,0.0,top
H6,20.4869,-49.7997,0.0,top
J1,42.4219,-45.9167,270.0,top
J3,106.0606,-26.8877,270.0,top
J4,96.4236,-23.1793,90.0,top
J5,63.2512,-37.1493,180.0,top
QI-CHARGER,115.2488,-26.7809,0.0,bottom
