Designator,Mid X,Mid Y,Rotation,Layer
BT1,85.8462,-3.8345,0.0,bottom
H4,12.4188,-5.3795,0.0,top
J1,34.4884,-45.2315,270.0,top
J10,117.6219,-18.6467,270.0,top
J11,93.107179,-31.5765,180.0,top
J2,116.6742,-26.0395,0.0,top
J3,63.287,-23.6365,180.0,top
J4,102.911,-15.0005,90.0,top
J5,70.44,-30.1805,180.0,top
J6,67.5857,-45.7267,180.0,top
J8,92.999629,-20.095075,0.0,top
J9,117.6265,-33.1247,270.0,top
SW1,94.2722,-48.8333,180.0,top
