Designator,Mid X,Mid Y,Rotation,Layer
BT1,84.0162,-4.4418,0.0,bottom
D1,80.0002,-17.2027,0.0,bottom
Fuse 2A,106.4884,-18.5837,0.0,bottom
H4,20.3573,-6.0697,0.0,top
J1,42.4269,-45.9217,270.0,top
J3,118.6963,-13.7813,0.0,top
J4,98.3776,-25.7447,90.0,top
J5,65.2202,-39.7097,180.0,top
QI-charger,113.9506,-25.6597,0.0,bottom
